INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
83	81	64815	683502	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	359061	2558926	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759	291667	3075759
84	82	67405	708055	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	376223	3032790	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247	303322	3186247
85	83	70038	732993	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	393883	3725776	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468	315171	3298468
86	84	72716	758314	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	412041	4697880	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413	327222	3412413
87	85	75437	784019	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	430698	6011506	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085	339466	3528085
88	86	78202	810108	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	449853	7731450	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486	351909	3645486
89	87	81012	836582	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	469507	9924916	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619	364554	3764619
90	88	83865	863438	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	489658	12661500	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471	377392	3885471
91	89	91227	890680	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	510309	16013206	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060	410521	4008060
92	90	98315	918305	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	531457	20054430	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372	442417	4132372
93	91	105634	946314	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	553104	24861976	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413	475353	4258413
94	92	114811	974707	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	575250	30515040	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181	516649	4386181
95	93	122632	1003485	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	597893	37095226	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682	551844	4515682
96	94	130683	1032646	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	621036	44686530	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907	588073	4646907
97	95	116341	1062191	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	644676	53375356	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859	523534	4779859
98	96	126652	1092120	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	668815	63250500	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540	569934	4914540
99	97	135464	1122434	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	693452	74403166	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953	609588	5050953
100	98	146393	1153130	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	718588	86926950	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085	658768	5189085
101	99	157650	1184212	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	744222	100917856	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954	709425	5328954
102	100	167287	1215677	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	770355	102521640	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546	752791	5470546
103	101	179161	1247526	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	796986	104168926	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867	806224	5613867
104	102	191364	1279759	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	824115	105860610	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915	861138	5758915
105	103	203895	1312377	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	851742	107597596	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696	917527	5905696
