INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
1179	121	7	43641536	872830	159	1	43641536	872830	159	1	69029160	1380583	159	1	4406116	88122	159	1	25807254	516145	159	1	34389679	687793	159	1	34389679	687793	159	1	21368549	427370	159	1	9304227	186084	159	1	24614628	492292	159	1	25176794	503535	159	1
1180	122	7	44233285	884665	160.5	1	44233285	884665	160.5	1	69965149	1399302	160.5	1	4465860	89317	160.5	1	26157183	523143	160.5	1	34855980	697119	160.5	1	34855980	697119	160.5	1	21658292	433165	160.5	1	9430386	188607	160.5	1	24948386	498967	160.5	1	25518175	510363	160.5	1
1181	123	7	44825035	896500	162	1	44825035	896500	162	1	70901137	1418022	162	1	4525604	90512	162	1	26507112	530142	162	1	35322280	706445	162	1	35322280	706445	162	1	21948035	438960	162	1	9556545	191130	162	1	25282144	505642	162	1	25859555	517191	162	1
1182	124	7	45416785	908335	163.5	1	45416785	908335	163.5	1	71837126	1436742	163.5	1	4585348	91706	163.5	1	26857041	537140	163.5	1	35788581	715771	163.5	1	35788581	715771	163.5	1	22237778	444755	163.5	1	9682704	193654	163.5	1	25615901	512318	163.5	1	26200935	524018	163.5	1
1183	125	7	46008534	920170	165	1	46008534	920170	165	1	72773115	1455462	165	1	4645092	92901	165	1	27206970	544139	165	1	36254882	725097	165	1	36254882	725097	165	1	22527521	450550	165	1	9808863	196177	165	1	25949659	518993	165	1	26542315	530846	165	1
1184	126	7	46600284	932005	166.5	1	46600284	932005	166.5	1	73709103	1474182	166.5	1	4704836	94096	166.5	1	27556899	551137	166.5	1	36721183	734423	166.5	1	36721183	734423	166.5	1	22817264	456345	166.5	1	9935022	198700	166.5	1	26283417	525668	166.5	1	26883696	537673	166.5	1
1185	127	7	47192034	943840	168	1	47192034	943840	168	1	74645092	1492901	168	1	4764580	95291	168	1	27906827	558136	168	1	37187483	743749	168	1	37187483	743749	168	1	23107007	462140	168	1	10061181	201223	168	1	26617174	532343	168	1	27225076	544501	168	1
1186	128	7	47783783	955675	169.5	1	47783783	955675	169.5	1	75581081	1511621	169.5	1	4824324	96486	169.5	1	28256756	565135	169.5	1	37653784	753075	169.5	1	37653784	753075	169.5	1	23396750	467935	169.5	1	10187340	203746	169.5	1	26950932	539018	169.5	1	27566456	551329	169.5	1
1187	129	7	48375533	967510	171	1	48375533	967510	171	1	76517069	1530341	171	1	4884068	97681	171	1	28606685	572133	171	1	38120085	762401	171	1	38120085	762401	171	1	23686493	473729	171	1	10313499	206269	171	1	27284690	545693	171	1	27907836	558156	171	1
1188	130	7	48967283	979345	172.5	1	48967283	979345	172.5	1	77453058	1549061	172.5	1	4943812	98876	172.5	1	28956614	579132	172.5	1	38586386	771727	172.5	1	38586386	771727	172.5	1	23976236	479524	172.5	1	10439658	208793	172.5	1	27618447	552368	172.5	1	28249217	564984	172.5	1
1189	131	7	49559032	991180	174	1	49559032	991180	174	1	78389046	1567780	174	1	5003556	100071	174	1	29306543	586130	174	1	39052686	781053	174	1	39052686	781053	174	1	24265979	485319	174	1	10565817	211316	174	1	27952205	559044	174	1	28590597	571811	174	1
1190	132	7	50150782	1003015	175.5	1	50150782	1003015	175.5	1	79325035	1586500	175.5	1	5063300	101266	175.5	1	29656472	593129	175.5	1	39518987	790379	175.5	1	39518987	790379	175.5	1	24555722	491114	175.5	1	10691976	213839	175.5	1	28285963	565719	175.5	1	28931977	578639	175.5	1
1191	133	7	50742532	1014850	177	1	50742532	1014850	177	1	80261024	1605220	177	1	5123044	102460	177	1	30006401	600128	177	1	39985288	799705	177	1	39985288	799705	177	1	24845465	496909	177	1	10818135	216362	177	1	28619721	572394	177	1	29273358	585467	177	1
1192	134	7	51334281	1026685	178.5	1	51334281	1026685	178.5	1	81197012	1623940	178.5	1	5182788	103655	178.5	1	30356330	607126	178.5	1	40451588	809031	178.5	1	40451588	809031	178.5	1	25135208	502704	178.5	1	10944294	218885	178.5	1	28953478	579069	178.5	1	29614738	592294	178.5	1
1193	135	7	51926031	1038520	180	1	51926031	1038520	180	1	82133001	1642660	180	1	5242532	104850	180	1	30706258	614125	180	1	40917889	818357	180	1	40917889	818357	180	1	25424951	508499	180	1	11070453	221409	180	1	29287236	585744	180	1	29956118	599122	180	1
1194	136	7	52517780	1050355	181.5	1	52517780	1050355	181.5	1	83068990	1661379	181.5	1	5302275	106045	181.5	1	31056187	621123	181.5	1	41384190	827683	181.5	1	41384190	827683	181.5	1	25714694	514293	181.5	1	11196612	223932	181.5	1	29620994	592419	181.5	1	30297498	605949	181.5	1
1195	137	7	53109530	1062190	183	1	53109530	1062190	183	1	84004978	1680099	183	1	5362019	107240	183	1	31406116	628122	183	1	41850491	837009	183	1	41850491	837009	183	1	26004437	520088	183	1	11322771	226455	183	1	29954751	599095	183	1	30638879	612777	183	1
1196	138	7	53701280	1074025	184.5	1	53701280	1074025	184.5	1	84940967	1698819	184.5	1	5421763	108435	184.5	1	31756045	635120	184.5	1	42316791	846335	184.5	1	42316791	846335	184.5	1	26294180	525883	184.5	1	11448930	228978	184.5	1	30288509	605770	184.5	1	30980259	619605	184.5	1
1197	139	7	54293029	1085860	186	1	54293029	1085860	186	1	85876955	1717539	186	1	5481507	109630	186	1	32105974	642119	186	1	42783092	855661	186	1	42783092	855661	186	1	26583923	531678	186	1	11575089	231501	186	1	30622267	612445	186	1	31321639	626432	186	1
1198	140	7	54884779	1097695	187.5	1	54884779	1097695	187.5	1	86812944	1736258	187.5	1	5541251	110825	187.5	1	32455903	649118	187.5	1	43249393	864987	187.5	1	43249393	864987	187.5	1	26873666	537473	187.5	1	11701248	234024	187.5	1	30956024	619120	187.5	1	31663019	633260	187.5	1
1199	141	7	55476529	1109530	189	1	55476529	1109530	189	1	87748933	1754978	189	1	5600995	112019	189	1	32805832	656116	189	1	43715694	874313	189	1	43715694	874313	189	1	27163409	543268	189	1	11827407	236548	189	1	31289782	625795	189	1	32004400	640088	189	1
1200	142	7	56068278	1121365	190.5	1	56068278	1121365	190.5	1	88684921	1773698	190.5	1	5660739	113214	190.5	1	33155761	663115	190.5	1	44181994	883639	190.5	1	44181994	883639	190.5	1	27453152	549063	190.5	1	11953566	239071	190.5	1	31623540	632470	190.5	1	32345780	646915	190.5	1
1201	143	7	56660028	1133200	192	1	56660028	1133200	192	1	89620910	1792418	192	1	5720483	114409	192	1	33505689	670113	192	1	44648295	892965	192	1	44648295	892965	192	1	27742895	554857	192	1	12079725	241594	192	1	31957297	639145	192	1	32687160	653743	192	1
1202	144	7	57251778	1145035	193.5	1	57251778	1145035	193.5	1	90556899	1811137	193.5	1	5780227	115604	193.5	1	33855618	677112	193.5	1	45114596	902291	193.5	1	45114596	902291	193.5	1	28032638	560652	193.5	1	12205884	244117	193.5	1	32291055	645821	193.5	1	33028541	660570	193.5	1
1203	145	7	57843527	1156870	195	1	57843527	1156870	195	1	91492887	1829857	195	1	5839971	116799	195	1	34205547	684110	195	1	45580897	911617	195	1	45580897	911617	195	1	28322381	566447	195	1	12332043	246640	195	1	32624813	652496	195	1	33369921	667398	195	1
1204	146	7	58435277	1168705	196.5	1	58435277	1168705	196.5	1	92428876	1848577	196.5	1	5899715	117994	196.5	1	34555476	691109	196.5	1	46047197	920943	196.5	1	46047197	920943	196.5	1	28612124	572242	196.5	1	12458202	249164	196.5	1	32958570	659171	196.5	1	33711301	674226	196.5	1
1205	147	7	59027027	1180540	198	1	59027027	1180540	198	1	93364864	1867297	198	1	5959459	119189	198	1	34905405	698108	198	1	46513498	930269	198	1	46513498	930269	198	1	28901868	578037	198	1	12584361	251687	198	1	33292328	665846	198	1	34052681	681053	198	1
1206	148	7	59618776	1192375	199.5	1	59618776	1192375	199.5	1	94300853	1886017	199.5	1	6019203	120384	199.5	1	35255334	705106	199.5	1	46979799	939595	199.5	1	46979799	939595	199.5	1	29191611	583832	199.5	1	12710520	254210	199.5	1	33626086	672521	199.5	1	34394062	687881	199.5	1
1207	149	7	60210526	1204210	201	1	60210526	1204210	201	1	95236842	1904736	201	1	6078947	121578	201	1	35605263	712105	201	1	47446100	948922	201	1	47446100	948922	201	1	29481354	589627	201	1	12836679	256733	201	1	33959843	679196	201	1	34735442	694708	201	1
1208	150	7	60802275	1216045	202.5	1	60802275	1216045	202.5	1	96172830	1923456	202.5	1	6138691	122773	202.5	1	35955192	719103	202.5	1	47912400	958248	202.5	1	47912400	958248	202.5	1	29771097	595421	202.5	1	12962838	259256	202.5	1	34293601	685872	202.5	1	35076822	701536	202.5	1
1209	0	8	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
1210	1	8	1662	49	1	1	1662	49	1	1	3266	97	1	1	836	25	1	1	1025	30	1	1	1260	37	1	1	1260	37	1	1	736	22	1	1	1230	36	1	1	999	29	1	1	1196	35	1	1
1211	2	8	20664	619	2	1	20664	619	2	1	40586	1217	2	1	10394	311	2	1	12745	382	2	1	15660	469	2	1	15660	469	2	1	9154	274	2	1	15286	458	2	1	12418	372	2	1	14872	446	2	1
1212	3	8	59264	1777	3	1	59264	1777	3	1	116400	3491	3	1	29809	894	3	1	36552	1096	3	1	44914	1347	3	1	44914	1347	3	1	26255	787	3	1	43841	1315	3	1	35614	1068	3	1	42653	1279	3	1
1213	4	8	111863	3355	4	1	111863	3355	4	1	219707	6591	4	1	56266	1687	4	1	68993	2069	4	1	84776	2543	4	1	84776	2543	4	1	49557	1486	4	1	82752	2482	4	1	67223	2016	4	1	80508	2415	4	1
1214	5	8	176278	5288	5	1	176278	5288	5	1	346224	10386	5	1	88667	2659	5	1	108722	3261	5	1	133595	4007	5	1	133595	4007	5	1	78094	2342	5	1	130404	3912	5	1	105933	3177	5	1	126869	3806	5	1
1215	6	8	251203	7536	6	1	251203	7536	6	1	493380	14801	6	1	126353	3790	6	1	154933	4647	6	1	190377	5711	6	1	190377	5711	6	1	111287	3338	6	1	185830	5574	6	1	150958	4528	6	1	180793	5423	6	1
1216	7	8	335727	10071	7	1	335727	10071	7	1	659392	19781	7	1	168868	5066	7	1	207065	6211	7	1	254435	7633	7	1	254435	7633	7	1	148733	4461	7	1	248358	7450	7	1	201752	6052	7	1	241626	7248	7	1
1217	8	8	429172	12875	8	1	429172	12875	8	1	842924	25287	8	1	215870	6476	8	1	264698	7940	8	1	325253	9757	8	1	325253	9757	8	1	190131	5703	8	1	317485	9524	8	1	257907	7737	8	1	308879	9266	8	1
1218	9	8	531000	15929	9	1	531000	15929	9	1	1042922	31287	9	1	267089	8012	9	1	327503	9825	9	1	402425	12072	9	1	402425	12072	9	1	235243	7057	9	1	392814	11784	9	1	319100	9572	9	1	382166	11464	9	1
1219	10	8	640774	19223	10	1	640774	19223	10	1	1258526	37755	10	1	322305	9669	10	1	395208	11856	10	1	485619	14568	10	1	485619	14568	10	1	283875	8516	10	1	474021	14220	10	1	385067	11552	10	1	461171	13835	10	1
1220	11	8	758127	22743	11	1	758127	22743	11	1	1489016	44670	11	1	381333	11439	11	1	467587	14027	11	1	574557	17236	11	1	574557	17236	11	1	335865	10075	11	1	560834	16824	11	1	455590	13667	11	1	545632	16368	11	1
1221	12	8	882745	26482	12	1	882745	26482	12	1	1733776	52013	12	1	444015	13320	12	1	544448	16333	12	1	669001	20069	12	1	669001	20069	12	1	391073	11732	12	1	653022	19590	12	1	530478	15914	12	1	635321	19059	12	1
1222	13	8	1014357	30430	13	1	1014357	30430	13	1	1992271	59768	13	1	510215	15306	13	1	625621	18768	13	1	768744	23062	13	1	768744	23062	13	1	449380	13481	13	1	750384	22511	13	1	609569	18287	13	1	730043	21901	13	1
1223	14	8	1152722	34581	14	1	1152722	34581	14	1	2264030	67920	14	1	579812	17394	14	1	710960	21328	14	1	873606	26208	14	1	873606	26208	14	1	510678	15320	14	1	852741	25582	14	1	692719	20781	14	1	829626	24888	14	1
1224	15	8	1297628	38928	15	1	1297628	38928	15	1	2548635	76458	15	1	652699	19580	15	1	800333	24009	15	1	983425	29502	15	1	983425	29502	15	1	574874	17246	15	1	959937	28798	15	1	779798	23393	15	1	933916	28017	15	1
1225	16	8	1448883	43466	16	1	1448883	43466	16	1	2845710	85371	16	1	728779	21863	16	1	893622	26808	16	1	1098055	32941	16	1	1098055	32941	16	1	641883	19256	16	1	1071830	32154	16	1	870694	26120	16	1	1042775	31283	16	1
1226	17	8	1606313	48189	17	1	1606313	48189	17	1	3154915	94647	17	1	807966	24238	17	1	990720	29721	17	1	1217366	36520	17	1	1217366	36520	17	1	711628	21348	17	1	1188291	35648	17	1	965300	28958	17	1	1156080	34682	17	1
1227	18	8	1769763	53092	18	1	1769763	53092	18	1	3475941	104278	18	1	890180	26705	18	1	1091530	32745	18	1	1341239	40237	18	1	1341239	40237	18	1	784039	23521	18	1	1309205	39276	18	1	1063524	31905	18	1	1273716	38211	18	1
1228	19	8	1939086	58172	19	1	1939086	58172	19	1	3808505	114255	19	1	975348	29260	19	1	1195963	35878	19	1	1469563	44086	19	1	1469563	44086	19	1	859052	25771	19	1	1434464	43033	19	1	1165277	34958	19	1	1395580	41867	19	1
1229	20	8	2114151	63424	20	1	2114151	63424	20	1	4152345	124570	20	1	1063405	31902	20	1	1303937	39118	20	1	1602238	48067	20	1	1602238	48067	20	1	936609	28098	20	1	1563970	46919	20	1	1270481	38114	20	1	1521576	45647	20	1
1230	21	8	2294834	68844	21	1	2294834	68844	21	1	4507220	135216	21	1	1154288	34628	21	1	1415377	42461	21	1	1739171	52175	21	1	1739171	52175	21	1	1016656	30499	21	1	1697633	50928	21	1	1379061	41371	21	1	1651615	49548	21	1
1231	22	8	2481022	74430	22	1	2481022	74430	22	1	4872906	146186	22	1	1247939	37438	22	1	1530211	45906	22	1	1880276	56408	22	1	1880276	56408	22	1	1099140	32974	22	1	1835368	55060	22	1	1490949	44728	22	1	1785617	53568	22	1
1232	23	8	2672607	80178	23	1	2672607	80178	23	1	5249193	157475	23	1	1344305	40329	23	1	1648374	49451	23	1	2025472	60764	23	1	2025472	60764	23	1	1184016	35520	23	1	1977096	59312	23	1	1606081	48182	23	1	1923503	57705	23	1
1233	24	8	2869491	86084	24	1	2869491	86084	24	1	5635887	169076	24	1	1443336	43300	24	1	1769805	53094	24	1	2174683	65240	24	1	2174683	65240	24	1	1271240	38137	24	1	2122743	63682	24	1	1724396	51731	24	1	2065202	61956	24	1
1234	25	8	3071579	92147	25	1	3071579	92147	25	1	6032803	180983	25	1	1544986	46349	25	1	1894447	56833	25	1	2327838	69835	25	1	2327838	69835	25	1	1360769	40823	25	1	2272240	68167	25	1	1845839	55375	25	1	2210647	66319	25	1
1235	26	8	3278785	98363	26	1	3278785	98363	26	1	6439769	193192	26	1	1649209	49476	26	1	2022244	60667	26	1	2484872	74546	26	1	2484872	74546	26	1	1452565	43576	26	1	2425523	72765	26	1	1970358	59110	26	1	2359775	70793	26	1
1236	27	8	3491024	104730	27	1	3491024	104730	27	1	6856623	205698	27	1	1755964	52678	27	1	2153146	64594	27	1	2645720	79371	27	1	2645720	79371	27	1	1546591	46397	27	1	2582530	77475	27	1	2097901	62937	27	1	2512525	75375	27	1
1237	28	8	3708219	111246	28	1	3708219	111246	28	1	7283209	218496	28	1	1865212	55956	28	1	2287105	68613	28	1	2810325	84309	28	1	2810325	84309	28	1	1642812	49284	28	1	2743203	82296	28	1	2228423	66852	28	1	2668843	80065	28	1
1238	29	8	3930296	117908	29	1	3930296	117908	29	1	7719383	231581	29	1	1976915	59307	29	1	2424074	72722	29	1	2978628	89358	29	1	2978628	89358	29	1	1741197	52235	29	1	2907487	87224	29	1	2361878	70856	29	1	2828674	84860	29	1
1239	30	8	4157183	124715	30	1	4157183	124715	30	1	8165007	244950	30	1	2091038	62731	30	1	2564011	76920	30	1	3150578	94517	30	1	3150578	94517	30	1	1841712	55251	30	1	3075330	92259	30	1	2498224	74946	30	1	2991967	89759	30	1
1240	31	8	4394736	131842	31.25	1	4394736	131842	31.25	1	8631578	258947	31.25	1	2210526	66315	31.25	1	2710526	81315	31.25	1	3330611	99918	31.25	1	3330611	99918	31.25	1	1946953	58408	31.25	1	3251063	97531	31.25	1	2640979	79229	31.25	1	3162936	94888	31.25	1
1241	32	8	4632290	138968	32.5	1	4632290	138968	32.5	1	9098150	272944	32.5	1	2330014	69900	32.5	1	2857041	85711	32.5	1	3510644	105319	32.5	1	3510644	105319	32.5	1	2052193	61565	32.5	1	3426796	102803	32.5	1	2783735	83512	32.5	1	3333906	100017	32.5	1
1242	33	8	4869843	146095	33.75	1	4869843	146095	33.75	1	9564722	286941	33.75	1	2449502	73485	33.75	1	3003556	90106	33.75	1	3690677	110720	33.75	1	3690677	110720	33.75	1	2157434	64723	33.75	1	3602529	108075	33.75	1	2926491	87794	33.75	1	3504875	105146	33.75	1
1243	34	8	5107396	153221	35	1	5107396	153221	35	1	10031294	300938	35	1	2568990	77069	35	1	3150071	94502	35	1	3870710	116121	35	1	3870710	116121	35	1	2262675	67880	35	1	3778262	113347	35	1	3069246	92077	35	1	3675845	110275	35	1
1244	35	8	5344950	160348	36.25	1	5344950	160348	36.25	1	10497866	314935	36.25	1	2688477	80654	36.25	1	3296586	98897	36.25	1	4050743	121522	36.25	1	4050743	121522	36.25	1	2367916	71037	36.25	1	3953995	118619	36.25	1	3212002	96360	36.25	1	3846815	115404	36.25	1
1245	36	8	5582503	167475	37.5	1	5582503	167475	37.5	1	10964438	328933	37.5	1	2807965	84238	37.5	1	3443100	103293	37.5	1	4230776	126923	37.5	1	4230776	126923	37.5	1	2473156	74194	37.5	1	4129728	123891	37.5	1	3354758	100642	37.5	1	4017784	120533	37.5	1
1246	37	8	5820056	174601	38.75	1	5820056	174601	38.75	1	11431009	342930	38.75	1	2927453	87823	38.75	1	3589615	107688	38.75	1	4410809	132324	38.75	1	4410809	132324	38.75	1	2578397	77351	38.75	1	4305462	129163	38.75	1	3497513	104925	38.75	1	4188754	125662	38.75	1
1247	38	8	6057610	181728	40	1	6057610	181728	40	1	11897581	356927	40	1	3046941	91408	40	1	3736130	112083	40	1	4590842	137725	40	1	4590842	137725	40	1	2683638	80509	40	1	4481195	134435	40	1	3640269	109208	40	1	4359723	130791	40	1
1248	39	8	6295163	188854	41.25	1	6295163	188854	41.25	1	12364153	370924	41.25	1	3166429	94992	41.25	1	3882645	116479	41.25	1	4770875	143126	41.25	1	4770875	143126	41.25	1	2788878	83666	41.25	1	4656928	139707	41.25	1	3783025	113490	41.25	1	4530693	135920	41.25	1
1249	40	8	6532716	195981	42.5	1	6532716	195981	42.5	1	12830725	384921	42.5	1	3285917	98577	42.5	1	4029160	120874	42.5	1	4950909	148527	42.5	1	4950909	148527	42.5	1	2894119	86823	42.5	1	4832661	144979	42.5	1	3925780	117773	42.5	1	4701662	141049	42.5	1
1250	41	8	6770270	203108	43.75	1	6770270	203108	43.75	1	13297297	398918	43.75	1	3405405	102162	43.75	1	4175675	125270	43.75	1	5130942	153928	43.75	1	5130942	153928	43.75	1	2999360	89980	43.75	1	5008394	150251	43.75	1	4068536	122056	43.75	1	4872632	146178	43.75	1
1251	42	8	7007823	210234	45	1	7007823	210234	45	1	13763869	412916	45	1	3524893	105746	45	1	4322190	129665	45	1	5310975	159329	45	1	5310975	159329	45	1	3104601	93138	45	1	5184127	155523	45	1	4211292	126338	45	1	5043601	151308	45	1
1252	43	8	7245376	217361	46.25	1	7245376	217361	46.25	1	14230440	426913	46.25	1	3644381	109331	46.25	1	4468705	134061	46.25	1	5491008	164730	46.25	1	5491008	164730	46.25	1	3209841	96295	46.25	1	5359860	160795	46.25	1	4354047	130621	46.25	1	5214571	156437	46.25	1
1253	44	8	7482930	224487	47.5	1	7482930	224487	47.5	1	14697012	440910	47.5	1	3763869	112916	47.5	1	4615220	138456	47.5	1	5671041	170131	47.5	1	5671041	170131	47.5	1	3315082	99452	47.5	1	5535594	166067	47.5	1	4496803	134904	47.5	1	5385541	161566	47.5	1
1254	45	8	7720483	231614	48.75	1	7720483	231614	48.75	1	15163584	454907	48.75	1	3883357	116500	48.75	1	4761735	142852	48.75	1	5851074	175532	48.75	1	5851074	175532	48.75	1	3420323	102609	48.75	1	5711327	171339	48.75	1	4639559	139186	48.75	1	5556510	166695	48.75	1
1255	46	8	7958036	238741	50	1	7958036	238741	50	1	15630156	468904	50	1	4002844	120085	50	1	4908250	147247	50	1	6031107	180933	50	1	6031107	180933	50	1	3525563	105766	50	1	5887060	176611	50	1	4782314	143469	50	1	5727480	171824	50	1
1256	47	8	8195590	245867	51.25	1	8195590	245867	51.25	1	16096728	482901	51.25	1	4122332	123669	51.25	1	5054765	151642	51.25	1	6211140	186334	51.25	1	6211140	186334	51.25	1	3630804	108924	51.25	1	6062793	181883	51.25	1	4925070	147752	51.25	1	5898449	176953	51.25	1
1257	48	8	8433143	252994	52.5	1	8433143	252994	52.5	1	16563300	496899	52.5	1	4241820	127254	52.5	1	5201280	156038	52.5	1	6391173	191735	52.5	1	6391173	191735	52.5	1	3736045	112081	52.5	1	6238526	187155	52.5	1	5067826	152034	52.5	1	6069419	182082	52.5	1
1258	49	8	8670697	260120	53.75	1	8670697	260120	53.75	1	17029871	510896	53.75	1	4361308	130839	53.75	1	5347795	160433	53.75	1	6571206	197136	53.75	1	6571206	197136	53.75	1	3841286	115238	53.75	1	6414259	192427	53.75	1	5210581	156317	53.75	1	6240388	187211	53.75	1
1259	50	8	8908250	267247	55	1	8908250	267247	55	1	17496443	524893	55	1	4480796	134423	55	1	5494310	164829	55	1	6751239	202537	55	1	6751239	202537	55	1	3946526	118395	55	1	6589992	197699	55	1	5353337	160600	55	1	6411358	192340	55	1
1260	51	8	9145803	274374	56.25	1	9145803	274374	56.25	1	17963015	538890	56.25	1	4600284	138008	56.25	1	5640825	169224	56.25	1	6931272	207938	56.25	1	6931272	207938	56.25	1	4051767	121553	56.25	1	6765726	202971	56.25	1	5496093	164882	56.25	1	6582327	197469	56.25	1
1261	52	8	9383357	281500	57.5	1	9383357	281500	57.5	1	18429587	552887	57.5	1	4719772	141593	57.5	1	5787339	173620	57.5	1	7111305	213339	57.5	1	7111305	213339	57.5	1	4157008	124710	57.5	1	6941459	208243	57.5	1	5638848	169165	57.5	1	6753297	202598	57.5	1
1262	53	8	9620910	288627	58.75	1	9620910	288627	58.75	1	18896159	566884	58.75	1	4839260	145177	58.75	1	5933854	178015	58.75	1	7291338	218740	58.75	1	7291338	218740	58.75	1	4262248	127867	58.75	1	7117192	213515	58.75	1	5781604	173448	58.75	1	6924267	207728	58.75	1
1263	54	8	9858463	295753	60	1	9858463	295753	60	1	19362731	580881	60	1	4958748	148762	60	1	6080369	182411	60	1	7471371	224141	60	1	7471371	224141	60	1	4367489	131024	60	1	7292925	218787	60	1	5924360	177730	60	1	7095236	212857	60	1
1264	55	8	10096017	302880	61.25	1	10096017	302880	61.25	1	19829302	594879	61.25	1	5078236	152347	61.25	1	6226884	186806	61.25	1	7651404	229542	61.25	1	7651404	229542	61.25	1	4472730	134181	61.25	1	7468658	224059	61.25	1	6067115	182013	61.25	1	7266206	217986	61.25	1
1265	56	8	10333570	310007	62.5	1	10333570	310007	62.5	1	20295874	608876	62.5	1	5197724	155931	62.5	1	6373399	191201	62.5	1	7831437	234943	62.5	1	7831437	234943	62.5	1	4577971	137339	62.5	1	7644391	229331	62.5	1	6209871	186296	62.5	1	7437175	223115	62.5	1
1266	57	8	10571123	317133	63.75	1	10571123	317133	63.75	1	20762446	622873	63.75	1	5317211	159516	63.75	1	6519914	195597	63.75	1	8011470	240344	63.75	1	8011470	240344	63.75	1	4683211	140496	63.75	1	7820124	234603	63.75	1	6352627	190578	63.75	1	7608145	228244	63.75	1
1267	58	8	10808677	324260	65	1	10808677	324260	65	1	21229018	636870	65	1	5436699	163100	65	1	6666429	199992	65	1	8191504	245745	65	1	8191504	245745	65	1	4788452	143653	65	1	7995858	239875	65	1	6495382	194861	65	1	7779114	233373	65	1
1268	59	8	11046230	331386	66.25	1	11046230	331386	66.25	1	21695590	650867	66.25	1	5556187	166685	66.25	1	6812944	204388	66.25	1	8371537	251146	66.25	1	8371537	251146	66.25	1	4893693	146810	66.25	1	8171591	245147	66.25	1	6638138	199144	66.25	1	7950084	238502	66.25	1
1269	60	8	11283783	338513	67.5	1	11283783	338513	67.5	1	22162162	664864	67.5	1	5675675	170270	67.5	1	6959459	208783	67.5	1	8551570	256547	67.5	1	8551570	256547	67.5	1	4998933	149968	67.5	1	8347324	250419	67.5	1	6780894	203426	67.5	1	8121054	243631	67.5	1
1270	61	8	11640113	232802	69	1	11640113	232802	69	1	22862019	457240	69	1	5854907	117098	69	1	7179231	143584	69	1	8821619	176432	69	1	8821619	176432	69	1	5156795	103135	69	1	8610924	172218	69	1	6995027	139900	69	1	8377508	167550	69	1
1271	62	8	11996443	239928	70.5	1	11996443	239928	70.5	1	23561877	471237	70.5	1	6034139	120682	70.5	1	7399004	147980	70.5	1	9091669	181833	70.5	1	9091669	181833	70.5	1	5314656	106293	70.5	1	8874523	177490	70.5	1	7209161	144183	70.5	1	8633962	172679	70.5	1
1272	63	8	12352773	247055	72	1	12352773	247055	72	1	24261735	485234	72	1	6213371	124267	72	1	7618776	152375	72	1	9361718	187234	72	1	9361718	187234	72	1	5472517	109450	72	1	9138123	182762	72	1	7423294	148465	72	1	8890417	177808	72	1
1273	64	8	12709103	254182	73.5	1	12709103	254182	73.5	1	24961593	499231	73.5	1	6392603	127852	73.5	1	7838549	156770	73.5	1	9631768	192635	73.5	1	9631768	192635	73.5	1	5630378	112607	73.5	1	9401723	188034	73.5	1	7637428	152748	73.5	1	9146871	182937	73.5	1
1274	65	8	13065433	261308	75	1	13065433	261308	75	1	25661450	513229	75	1	6571834	131436	75	1	8058321	161166	75	1	9901818	198036	75	1	9901818	198036	75	1	5788239	115764	75	1	9665323	193306	75	1	7851561	157031	75	1	9403325	188066	75	1
1275	66	8	13421763	268435	76.5	1	13421763	268435	76.5	1	26361308	527226	76.5	1	6751066	135021	76.5	1	8278093	165561	76.5	1	10171867	203437	76.5	1	10171867	203437	76.5	1	5946100	118922	76.5	1	9928922	198578	76.5	1	8065695	161313	76.5	1	9659780	193195	76.5	1
1276	67	8	13778093	275561	78	1	13778093	275561	78	1	27061166	541223	78	1	6930298	138605	78	1	8497866	169957	78	1	10441917	208838	78	1	10441917	208838	78	1	6103961	122079	78	1	10192522	203850	78	1	8279828	165596	78	1	9916234	198324	78	1
1277	68	8	14134423	282688	79.5	1	14134423	282688	79.5	1	27761024	555220	79.5	1	7109530	142190	79.5	1	8717638	174352	79.5	1	10711966	214239	79.5	1	10711966	214239	79.5	1	6261822	125236	79.5	1	10456122	209122	79.5	1	8493962	169879	79.5	1	10172688	203453	79.5	1
1278	69	8	14490753	289815	81	1	14490753	289815	81	1	28460881	569217	81	1	7288762	145775	81	1	8937411	178748	81	1	10982016	219640	81	1	10982016	219640	81	1	6419683	128393	81	1	10719721	214394	81	1	8708095	174161	81	1	10429143	208582	81	1
1279	70	8	14847083	296941	82.5	1	14847083	296941	82.5	1	29160739	583214	82.5	1	7467994	149359	82.5	1	9157183	183143	82.5	1	11252065	225041	82.5	1	11252065	225041	82.5	1	6577544	131550	82.5	1	10983321	219666	82.5	1	8922229	178444	82.5	1	10685597	213711	82.5	1
